// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 14 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 2s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d
// command took 3,29s and exited with 0
// ***** Done, took 00:00:05 (5.47 sec)   *****
// Found 14 benchmarks:
//   ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForCacheArray2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.For2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAll2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
//   ArrayAccessMethods.LinqAny2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: ArrayAccessMethods.ForCacheArray: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-CECUFN(Jit=RyuJit, Platform=X64, Server=True)

WorkloadPilot    2: 32 op, 891322700.00 ns, 27.8538 ms/op

OverheadWarmup   1: 32 op, 4900.00 ns, 153.1250 ns/op
OverheadWarmup   2: 32 op, 900.00 ns, 28.1250 ns/op
OverheadWarmup   3: 32 op, 2000.00 ns, 62.5000 ns/op
OverheadWarmup   4: 32 op, 1000.00 ns, 31.2500 ns/op
OverheadWarmup   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadWarmup   6: 32 op, 600.00 ns, 18.7500 ns/op
OverheadWarmup   7: 32 op, 800.00 ns, 25.0000 ns/op
OverheadWarmup   8: 32 op, 600.00 ns, 18.7500 ns/op

OverheadActual   1: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   2: 32 op, 2500.00 ns, 78.1250 ns/op
OverheadActual   3: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   4: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual   5: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   6: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   7: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual   8: 32 op, 1000.00 ns, 31.2500 ns/op
OverheadActual   9: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  10: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual  11: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  12: 32 op, 1100.00 ns, 34.3750 ns/op
OverheadActual  13: 32 op, 900.00 ns, 28.1250 ns/op
OverheadActual  14: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  15: 32 op, 600.00 ns, 18.7500 ns/op
OverheadActual  16: 32 op, 700.00 ns, 21.8750 ns/op
OverheadActual  17: 32 op, 400.00 ns, 12.5000 ns/op
OverheadActual  18: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  19: 32 op, 500.00 ns, 15.6250 ns/op
OverheadActual  20: 32 op, 1000.00 ns, 31.2500 ns/op

WorkloadWarmup   1: 32 op, 888837800.00 ns, 27.7762 ms/op
WorkloadWarmup   2: 32 op, 896356600.00 ns, 28.0111 ms/op
WorkloadWarmup   3: 32 op, 888896300.00 ns, 27.7780 ms/op
WorkloadWarmup   4: 32 op, 889632000.00 ns, 27.8010 ms/op
WorkloadWarmup   5: 32 op, 891636700.00 ns, 27.8636 ms/op
WorkloadWarmup   6: 32 op, 901386700.00 ns, 28.1683 ms/op
WorkloadWarmup   7: 32 op, 890867900.00 ns, 27.8396 ms/op

// BeforeActualRun
WorkloadActual   1: 32 op, 895240200.00 ns, 27.9763 ms/op
WorkloadActual   2: 32 op, 894119900.00 ns, 27.9412 ms/op
WorkloadActual   3: 32 op, 900052700.00 ns, 28.1266 ms/op
WorkloadActual   4: 32 op, 902623500.00 ns, 28.2070 ms/op
WorkloadActual   5: 32 op, 905435600.00 ns, 28.2949 ms/op
WorkloadActual   6: 32 op, 892769200.00 ns, 27.8990 ms/op
WorkloadActual   7: 32 op, 889600900.00 ns, 27.8000 ms/op
WorkloadActual   8: 32 op, 890379700.00 ns, 27.8244 ms/op
WorkloadActual   9: 32 op, 894550700.00 ns, 27.9547 ms/op
WorkloadActual  10: 32 op, 889481900.00 ns, 27.7963 ms/op
WorkloadActual  11: 32 op, 889668100.00 ns, 27.8021 ms/op
WorkloadActual  12: 32 op, 890027600.00 ns, 27.8134 ms/op
WorkloadActual  13: 32 op, 888472100.00 ns, 27.7648 ms/op
WorkloadActual  14: 32 op, 890250800.00 ns, 27.8203 ms/op
WorkloadActual  15: 32 op, 889562300.00 ns, 27.7988 ms/op

// AfterActualRun
WorkloadResult   1: 32 op, 895239650.00 ns, 27.9762 ms/op
WorkloadResult   2: 32 op, 894119350.00 ns, 27.9412 ms/op
WorkloadResult   3: 32 op, 900052150.00 ns, 28.1266 ms/op
WorkloadResult   4: 32 op, 902622950.00 ns, 28.2070 ms/op
WorkloadResult   5: 32 op, 892768650.00 ns, 27.8990 ms/op
WorkloadResult   6: 32 op, 889600350.00 ns, 27.8000 ms/op
WorkloadResult   7: 32 op, 890379150.00 ns, 27.8243 ms/op
WorkloadResult   8: 32 op, 894550150.00 ns, 27.9547 ms/op
WorkloadResult   9: 32 op, 889481350.00 ns, 27.7963 ms/op
WorkloadResult  10: 32 op, 889667550.00 ns, 27.8021 ms/op
WorkloadResult  11: 32 op, 890027050.00 ns, 27.8133 ms/op
WorkloadResult  12: 32 op, 888471550.00 ns, 27.7647 ms/op
WorkloadResult  13: 32 op, 890250250.00 ns, 27.8203 ms/op
WorkloadResult  14: 32 op, 889561750.00 ns, 27.7988 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 27.8946 ms, StdErr = 0.0359 ms (0.13%); N = 14, StdDev = 0.1342 ms
Min = 27.7647 ms, Q1 = 27.8000 ms, Median = 27.8223 ms, Q3 = 27.9547 ms, Max = 28.2070 ms
IQR = 0.1547 ms, LowerFence = 27.5680 ms, UpperFence = 28.1867 ms
ConfidenceInterval = [27.7432 ms; 28.0460 ms] (CI 99.9%), Margin = 0.1514 ms (0.54% of Mean)
Skewness = 1.09, Kurtosis = 2.9, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.ForEach2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.ForEach2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 5 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-MGVIID(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 445800.00 ns, 445.8000 us/op
WorkloadJitting  1: 1 op, 234573000.00 ns, 234.5730 ms/op

WorkloadPilot    1: 2 op, 466625400.00 ns, 233.3127 ms/op
WorkloadPilot    2: 3 op, 710153000.00 ns, 236.7177 ms/op

WorkloadWarmup   1: 3 op, 700385300.00 ns, 233.4618 ms/op
WorkloadWarmup   2: 3 op, 699592600.00 ns, 233.1975 ms/op
WorkloadWarmup   3: 3 op, 700672500.00 ns, 233.5575 ms/op
WorkloadWarmup   4: 3 op, 703944500.00 ns, 234.6482 ms/op
WorkloadWarmup   5: 3 op, 704533100.00 ns, 234.8444 ms/op
WorkloadWarmup   6: 3 op, 701707600.00 ns, 233.9025 ms/op
WorkloadWarmup   7: 3 op, 699976700.00 ns, 233.3256 ms/op
WorkloadWarmup   8: 3 op, 699243100.00 ns, 233.0810 ms/op
WorkloadWarmup   9: 3 op, 700483300.00 ns, 233.4944 ms/op
WorkloadWarmup  10: 3 op, 702629300.00 ns, 234.2098 ms/op
WorkloadWarmup  11: 3 op, 710127600.00 ns, 236.7092 ms/op
WorkloadWarmup  12: 3 op, 707333700.00 ns, 235.7779 ms/op

// BeforeActualRun
WorkloadActual   1: 3 op, 700926600.00 ns, 233.6422 ms/op
WorkloadActual   2: 3 op, 709040900.00 ns, 236.3470 ms/op
WorkloadActual   3: 3 op, 701361900.00 ns, 233.7873 ms/op
WorkloadActual   4: 3 op, 701307600.00 ns, 233.7692 ms/op
WorkloadActual   5: 3 op, 699483100.00 ns, 233.1610 ms/op
WorkloadActual   6: 3 op, 703937600.00 ns, 234.6459 ms/op
WorkloadActual   7: 3 op, 701601300.00 ns, 233.8671 ms/op
WorkloadActual   8: 3 op, 700214900.00 ns, 233.4050 ms/op
WorkloadActual   9: 3 op, 700605500.00 ns, 233.5352 ms/op
WorkloadActual  10: 3 op, 701817900.00 ns, 233.9393 ms/op
WorkloadActual  11: 3 op, 700227800.00 ns, 233.4093 ms/op
WorkloadActual  12: 3 op, 703353100.00 ns, 234.4510 ms/op
WorkloadActual  13: 3 op, 703363100.00 ns, 234.4544 ms/op
WorkloadActual  14: 3 op, 701213600.00 ns, 233.7379 ms/op
WorkloadActual  15: 3 op, 699150600.00 ns, 233.0502 ms/op

// AfterActualRun
WorkloadResult   1: 3 op, 700926600.00 ns, 233.6422 ms/op
WorkloadResult   2: 3 op, 701361900.00 ns, 233.7873 ms/op
WorkloadResult   3: 3 op, 701307600.00 ns, 233.7692 ms/op
WorkloadResult   4: 3 op, 699483100.00 ns, 233.1610 ms/op
WorkloadResult   5: 3 op, 703937600.00 ns, 234.6459 ms/op
WorkloadResult   6: 3 op, 701601300.00 ns, 233.8671 ms/op
WorkloadResult   7: 3 op, 700214900.00 ns, 233.4050 ms/op
WorkloadResult   8: 3 op, 700605500.00 ns, 233.5352 ms/op
WorkloadResult   9: 3 op, 701817900.00 ns, 233.9393 ms/op
WorkloadResult  10: 3 op, 700227800.00 ns, 233.4093 ms/op
WorkloadResult  11: 3 op, 703353100.00 ns, 234.4510 ms/op
WorkloadResult  12: 3 op, 703363100.00 ns, 234.4544 ms/op
WorkloadResult  13: 3 op, 701213600.00 ns, 233.7379 ms/op
WorkloadResult  14: 3 op, 699150600.00 ns, 233.0502 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 233.7753 ms, StdErr = 0.1276 ms (0.05%); N = 14, StdDev = 0.4773 ms
Min = 233.0502 ms, Q1 = 233.4093 ms, Median = 233.7535 ms, Q3 = 233.9393 ms, Max = 234.6459 ms
IQR = 0.5300 ms, LowerFence = 232.6142 ms, UpperFence = 234.7344 ms
ConfidenceInterval = [233.2369 ms; 234.3138 ms] (CI 99.9%), Margin = 0.5385 ms (0.23% of Mean)
Skewness = 0.37, Kurtosis = 2, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAggregate: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAggregate" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 6 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-TOPDJU(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 478200.00 ns, 478.2000 us/op
WorkloadJitting  1: 1 op, 445047800.00 ns, 445.0478 ms/op

WorkloadWarmup   1: 1 op, 438815100.00 ns, 438.8151 ms/op
WorkloadWarmup   2: 1 op, 447604000.00 ns, 447.6040 ms/op
WorkloadWarmup   3: 1 op, 441359500.00 ns, 441.3595 ms/op
WorkloadWarmup   4: 1 op, 448945000.00 ns, 448.9450 ms/op
WorkloadWarmup   5: 1 op, 443466700.00 ns, 443.4667 ms/op
WorkloadWarmup   6: 1 op, 441512100.00 ns, 441.5121 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 448036600.00 ns, 448.0366 ms/op
WorkloadActual   2: 1 op, 442646400.00 ns, 442.6464 ms/op
WorkloadActual   3: 1 op, 438173800.00 ns, 438.1738 ms/op
WorkloadActual   4: 1 op, 438671200.00 ns, 438.6712 ms/op
WorkloadActual   5: 1 op, 438566500.00 ns, 438.5665 ms/op
WorkloadActual   6: 1 op, 440539700.00 ns, 440.5397 ms/op
WorkloadActual   7: 1 op, 441009200.00 ns, 441.0092 ms/op
WorkloadActual   8: 1 op, 442286600.00 ns, 442.2866 ms/op
WorkloadActual   9: 1 op, 440363900.00 ns, 440.3639 ms/op
WorkloadActual  10: 1 op, 441739300.00 ns, 441.7393 ms/op
WorkloadActual  11: 1 op, 452809200.00 ns, 452.8092 ms/op
WorkloadActual  12: 1 op, 440809300.00 ns, 440.8093 ms/op
WorkloadActual  13: 1 op, 438027000.00 ns, 438.0270 ms/op
WorkloadActual  14: 1 op, 443792400.00 ns, 443.7924 ms/op
WorkloadActual  15: 1 op, 445498200.00 ns, 445.4982 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 448036600.00 ns, 448.0366 ms/op
WorkloadResult   2: 1 op, 442646400.00 ns, 442.6464 ms/op
WorkloadResult   3: 1 op, 438173800.00 ns, 438.1738 ms/op
WorkloadResult   4: 1 op, 438671200.00 ns, 438.6712 ms/op
WorkloadResult   5: 1 op, 438566500.00 ns, 438.5665 ms/op
WorkloadResult   6: 1 op, 440539700.00 ns, 440.5397 ms/op
WorkloadResult   7: 1 op, 441009200.00 ns, 441.0092 ms/op
WorkloadResult   8: 1 op, 442286600.00 ns, 442.2866 ms/op
WorkloadResult   9: 1 op, 440363900.00 ns, 440.3639 ms/op
WorkloadResult  10: 1 op, 441739300.00 ns, 441.7393 ms/op
WorkloadResult  11: 1 op, 440809300.00 ns, 440.8093 ms/op
WorkloadResult  12: 1 op, 438027000.00 ns, 438.0270 ms/op
WorkloadResult  13: 1 op, 443792400.00 ns, 443.7924 ms/op
WorkloadResult  14: 1 op, 445498200.00 ns, 445.4982 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 441.4400 ms, StdErr = 0.7724 ms (0.17%); N = 14, StdDev = 2.8899 ms
Min = 438.0270 ms, Q1 = 438.6712 ms, Median = 440.9093 ms, Q3 = 442.6464 ms, Max = 448.0366 ms
IQR = 3.9752 ms, LowerFence = 432.7084 ms, UpperFence = 448.6092 ms
ConfidenceInterval = [438.1800 ms; 444.7000 ms] (CI 99.9%), Margin = 3.2600 ms (0.74% of Mean)
Skewness = 0.73, Kurtosis = 2.64, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqAggregate2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqAggregate2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 7 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-UOTFLI(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 459600.00 ns, 459.6000 us/op
WorkloadJitting  1: 1 op, 706128200.00 ns, 706.1282 ms/op

WorkloadWarmup   1: 1 op, 706432400.00 ns, 706.4324 ms/op
WorkloadWarmup   2: 1 op, 706714900.00 ns, 706.7149 ms/op
WorkloadWarmup   3: 1 op, 711416800.00 ns, 711.4168 ms/op
WorkloadWarmup   4: 1 op, 706127200.00 ns, 706.1272 ms/op
WorkloadWarmup   5: 1 op, 705769300.00 ns, 705.7693 ms/op
WorkloadWarmup   6: 1 op, 706641400.00 ns, 706.6414 ms/op
WorkloadWarmup   7: 1 op, 705562400.00 ns, 705.5624 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 704551300.00 ns, 704.5513 ms/op
WorkloadActual   2: 1 op, 701747900.00 ns, 701.7479 ms/op
WorkloadActual   3: 1 op, 706323700.00 ns, 706.3237 ms/op
WorkloadActual   4: 1 op, 713369200.00 ns, 713.3692 ms/op
WorkloadActual   5: 1 op, 733193300.00 ns, 733.1933 ms/op
WorkloadActual   6: 1 op, 718307300.00 ns, 718.3073 ms/op
WorkloadActual   7: 1 op, 719935000.00 ns, 719.9350 ms/op
WorkloadActual   8: 1 op, 707665600.00 ns, 707.6656 ms/op
WorkloadActual   9: 1 op, 720566600.00 ns, 720.5666 ms/op
WorkloadActual  10: 1 op, 723804400.00 ns, 723.8044 ms/op
WorkloadActual  11: 1 op, 703580200.00 ns, 703.5802 ms/op
WorkloadActual  12: 1 op, 704509800.00 ns, 704.5098 ms/op
WorkloadActual  13: 1 op, 711510400.00 ns, 711.5104 ms/op
WorkloadActual  14: 1 op, 722062500.00 ns, 722.0625 ms/op
WorkloadActual  15: 1 op, 703199900.00 ns, 703.1999 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 704551300.00 ns, 704.5513 ms/op
WorkloadResult   2: 1 op, 701747900.00 ns, 701.7479 ms/op
WorkloadResult   3: 1 op, 706323700.00 ns, 706.3237 ms/op
WorkloadResult   4: 1 op, 713369200.00 ns, 713.3692 ms/op
WorkloadResult   5: 1 op, 733193300.00 ns, 733.1933 ms/op
WorkloadResult   6: 1 op, 718307300.00 ns, 718.3073 ms/op
WorkloadResult   7: 1 op, 719935000.00 ns, 719.9350 ms/op
WorkloadResult   8: 1 op, 707665600.00 ns, 707.6656 ms/op
WorkloadResult   9: 1 op, 720566600.00 ns, 720.5666 ms/op
WorkloadResult  10: 1 op, 723804400.00 ns, 723.8044 ms/op
WorkloadResult  11: 1 op, 703580200.00 ns, 703.5802 ms/op
WorkloadResult  12: 1 op, 704509800.00 ns, 704.5098 ms/op
WorkloadResult  13: 1 op, 711510400.00 ns, 711.5104 ms/op
WorkloadResult  14: 1 op, 722062500.00 ns, 722.0625 ms/op
WorkloadResult  15: 1 op, 703199900.00 ns, 703.1999 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 712.9551 ms, StdErr = 2.4595 ms (0.34%); N = 15, StdDev = 9.5257 ms
Min = 701.7479 ms, Q1 = 704.5098 ms, Median = 711.5104 ms, Q3 = 720.5666 ms, Max = 733.1933 ms
IQR = 16.0568 ms, LowerFence = 680.4246 ms, UpperFence = 744.6518 ms
ConfidenceInterval = [702.7716 ms; 723.1387 ms] (CI 99.9%), Margin = 10.1836 ms (1.43% of Mean)
Skewness = 0.5, Kurtosis = 1.95, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqSum: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqSum" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 8 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-PIYDMX(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 442100.00 ns, 442.1000 us/op
WorkloadJitting  1: 1 op, 525725500.00 ns, 525.7255 ms/op

WorkloadWarmup   1: 1 op, 532649200.00 ns, 532.6492 ms/op
WorkloadWarmup   2: 1 op, 524156400.00 ns, 524.1564 ms/op
WorkloadWarmup   3: 1 op, 527199000.00 ns, 527.1990 ms/op
WorkloadWarmup   4: 1 op, 524038100.00 ns, 524.0381 ms/op
WorkloadWarmup   5: 1 op, 522229100.00 ns, 522.2291 ms/op
WorkloadWarmup   6: 1 op, 525213000.00 ns, 525.2130 ms/op
WorkloadWarmup   7: 1 op, 523454100.00 ns, 523.4541 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 524182800.00 ns, 524.1828 ms/op
WorkloadActual   2: 1 op, 522577900.00 ns, 522.5779 ms/op
WorkloadActual   3: 1 op, 522320000.00 ns, 522.3200 ms/op
WorkloadActual   4: 1 op, 525003900.00 ns, 525.0039 ms/op
WorkloadActual   5: 1 op, 523050300.00 ns, 523.0503 ms/op
WorkloadActual   6: 1 op, 521980500.00 ns, 521.9805 ms/op
WorkloadActual   7: 1 op, 521313400.00 ns, 521.3134 ms/op
WorkloadActual   8: 1 op, 521963300.00 ns, 521.9633 ms/op
WorkloadActual   9: 1 op, 522752400.00 ns, 522.7524 ms/op
WorkloadActual  10: 1 op, 523067600.00 ns, 523.0676 ms/op
WorkloadActual  11: 1 op, 521206100.00 ns, 521.2061 ms/op
WorkloadActual  12: 1 op, 521073700.00 ns, 521.0737 ms/op
WorkloadActual  13: 1 op, 526367100.00 ns, 526.3671 ms/op
WorkloadActual  14: 1 op, 522060200.00 ns, 522.0602 ms/op
WorkloadActual  15: 1 op, 522218200.00 ns, 522.2182 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 524182800.00 ns, 524.1828 ms/op
WorkloadResult   2: 1 op, 522577900.00 ns, 522.5779 ms/op
WorkloadResult   3: 1 op, 522320000.00 ns, 522.3200 ms/op
WorkloadResult   4: 1 op, 523050300.00 ns, 523.0503 ms/op
WorkloadResult   5: 1 op, 521980500.00 ns, 521.9805 ms/op
WorkloadResult   6: 1 op, 521313400.00 ns, 521.3134 ms/op
WorkloadResult   7: 1 op, 521963300.00 ns, 521.9633 ms/op
WorkloadResult   8: 1 op, 522752400.00 ns, 522.7524 ms/op
WorkloadResult   9: 1 op, 523067600.00 ns, 523.0676 ms/op
WorkloadResult  10: 1 op, 521206100.00 ns, 521.2061 ms/op
WorkloadResult  11: 1 op, 521073700.00 ns, 521.0737 ms/op
WorkloadResult  12: 1 op, 522060200.00 ns, 522.0602 ms/op
WorkloadResult  13: 1 op, 522218200.00 ns, 522.2182 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 522.2897 ms, StdErr = 0.2393 ms (0.05%); N = 13, StdDev = 0.8627 ms
Min = 521.0737 ms, Q1 = 521.6384 ms, Median = 522.2182 ms, Q3 = 522.9014 ms, Max = 524.1828 ms
IQR = 1.2630 ms, LowerFence = 519.7439 ms, UpperFence = 524.7959 ms
ConfidenceInterval = [521.2566 ms; 523.3229 ms] (CI 99.9%), Margin = 1.0331 ms (0.20% of Mean)
Skewness = 0.45, Kurtosis = 2.51, MValue = 2

// **************************
// Benchmark: ArrayAccessMethods.LinqSum2: Job-XKPPES(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "38c7a5e8-f0b9-4db4-ba3d-361455fb340d.dll" --benchmarkName "CSharpBenchmarks.ArrayAccessMethods.LinqSum2" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 9 in E:\git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\38c7a5e8-f0b9-4db4-ba3d-361455fb340d\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-FOEQPC(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 438500.00 ns, 438.5000 us/op
WorkloadJitting  1: 1 op, 774157300.00 ns, 774.1573 ms/op

WorkloadWarmup   1: 1 op, 775837200.00 ns, 775.8372 ms/op
WorkloadWarmup   2: 1 op, 771981200.00 ns, 771.9812 ms/op
WorkloadWarmup   3: 1 op, 780069500.00 ns, 780.0695 ms/op
WorkloadWarmup   4: 1 op, 781531700.00 ns, 781.5317 ms/op
WorkloadWarmup   5: 1 op, 773024700.00 ns, 773.0247 ms/op
WorkloadWarmup   6: 1 op, 773014200.00 ns, 773.0142 ms/op
WorkloadWarmup   7: 1 op, 772651500.00 ns, 772.6515 ms/op
WorkloadWarmup   8: 1 op, 773445800.00 ns, 773.4458 ms/op
WorkloadWarmup   9: 1 op, 772583200.00 ns, 772.5832 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 776575500.00 ns, 776.5755 ms/op
WorkloadActual   2: 1 op, 773957600.00 ns, 773.9576 ms/op
WorkloadActual   3: 1 op, 772060700.00 ns, 772.0607 ms/op
WorkloadActual   4: 1 op, 773818100.00 ns, 773.8181 ms/op
WorkloadActual   5: 1 op, 773448700.00 ns, 773.4487 ms/op
WorkloadActual   6: 1 op, 776788400.00 ns, 776.7884 ms/op
WorkloadActual   7: 1 op, 775984600.00 ns, 775.9846 ms/op
WorkloadActual   8: 1 op, 793018200.00 ns, 793.0182 ms/op
