// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 8 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18
// command took 2,06s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18
// command took 3,1s and exited with 0
// ***** Done, took 00:00:05 (5.34 sec)   *****
// Found 8 benchmarks:
//   AnyArrayVsListAccessMethods.ForAnyCacheArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyCacheList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.LinqAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.LinqAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForEachAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
//   AnyArrayVsListAccessMethods.ForEachAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)// **************************
// Benchmark: AnyArrayVsListAccessMethods.ForAnyCacheArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1b74f44b-088c-4c23-8d91-182e5c455e18.dll" --benchmarkName "CSharpBenchmarks.AnyArrayVsListAccessMethods.ForAnyCacheArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 0 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-KGVION(Jit=RyuJit, Platform=X64, Server=True)

WorkloadActual   4: 1 op, 6397481500.00 ns, 6.3975 s/op
WorkloadActual   5: 1 op, 6408945900.00 ns, 6.4089 s/op
WorkloadActual   6: 1 op, 6409100700.00 ns, 6.4091 s/op
WorkloadActual   7: 1 op, 6413460500.00 ns, 6.4135 s/op
WorkloadActual   8: 1 op, 6464825800.00 ns, 6.4648 s/op
WorkloadActual   9: 1 op, 6417642900.00 ns, 6.4176 s/op
WorkloadActual  10: 1 op, 6416015700.00 ns, 6.4160 s/op
WorkloadActual  11: 1 op, 6410476400.00 ns, 6.4105 s/op
WorkloadActual  12: 1 op, 6543332700.00 ns, 6.5433 s/op
WorkloadActual  13: 1 op, 6416689700.00 ns, 6.4167 s/op
WorkloadActual  14: 1 op, 6411828500.00 ns, 6.4118 s/op
WorkloadActual  15: 1 op, 6411475900.00 ns, 6.4115 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 6409844900.00 ns, 6.4098 s/op
WorkloadResult   2: 1 op, 6425383400.00 ns, 6.4254 s/op
WorkloadResult   3: 1 op, 6397481500.00 ns, 6.3975 s/op
WorkloadResult   4: 1 op, 6408945900.00 ns, 6.4089 s/op
WorkloadResult   5: 1 op, 6409100700.00 ns, 6.4091 s/op
WorkloadResult   6: 1 op, 6413460500.00 ns, 6.4135 s/op
WorkloadResult   7: 1 op, 6417642900.00 ns, 6.4176 s/op
WorkloadResult   8: 1 op, 6416015700.00 ns, 6.4160 s/op
WorkloadResult   9: 1 op, 6410476400.00 ns, 6.4105 s/op
WorkloadResult  10: 1 op, 6416689700.00 ns, 6.4167 s/op
WorkloadResult  11: 1 op, 6411828500.00 ns, 6.4118 s/op
WorkloadResult  12: 1 op, 6411475900.00 ns, 6.4115 s/op
GC:  0 0 0 0 0

// AfterAll

Mean = 6.4124 s, StdErr = 0.0019 s (0.03%); N = 12, StdDev = 0.0066 s
Min = 6.3975 s, Q1 = 6.4095 s, Median = 6.4117 s, Q3 = 6.4164 s, Max = 6.4254 s
IQR = 0.0069 s, LowerFence = 6.3992 s, UpperFence = 6.4267 s
ConfidenceInterval = [6.4039 s; 6.4209 s] (CI 99.9%), Margin = 0.0085 s (0.13% of Mean)
Skewness = -0.26, Kurtosis = 3.4, MValue = 2

// **************************
// Benchmark: AnyArrayVsListAccessMethods.ForEachAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1b74f44b-088c-4c23-8d91-182e5c455e18.dll" --benchmarkName "CSharpBenchmarks.AnyArrayVsListAccessMethods.ForEachAnyArray" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 6 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-IBNAVS(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 451800.00 ns, 451.8000 us/op
WorkloadJitting  1: 1 op, 409775200.00 ns, 409.7752 ms/op

WorkloadWarmup   1: 1 op, 409868300.00 ns, 409.8683 ms/op
WorkloadWarmup   2: 1 op, 415881800.00 ns, 415.8818 ms/op
WorkloadWarmup   3: 1 op, 413852300.00 ns, 413.8523 ms/op
WorkloadWarmup   4: 1 op, 415975800.00 ns, 415.9758 ms/op
WorkloadWarmup   5: 1 op, 415718700.00 ns, 415.7187 ms/op
WorkloadWarmup   6: 1 op, 413879100.00 ns, 413.8791 ms/op

// BeforeActualRun
WorkloadActual   1: 1 op, 413856400.00 ns, 413.8564 ms/op
WorkloadActual   2: 1 op, 416171200.00 ns, 416.1712 ms/op
WorkloadActual   3: 1 op, 415312700.00 ns, 415.3127 ms/op
WorkloadActual   4: 1 op, 409895600.00 ns, 409.8956 ms/op
WorkloadActual   5: 1 op, 415944700.00 ns, 415.9447 ms/op
WorkloadActual   6: 1 op, 414566000.00 ns, 414.5660 ms/op
WorkloadActual   7: 1 op, 410026800.00 ns, 410.0268 ms/op
WorkloadActual   8: 1 op, 409534800.00 ns, 409.5348 ms/op
WorkloadActual   9: 1 op, 415786900.00 ns, 415.7869 ms/op
WorkloadActual  10: 1 op, 418156700.00 ns, 418.1567 ms/op
WorkloadActual  11: 1 op, 414163700.00 ns, 414.1637 ms/op
WorkloadActual  12: 1 op, 414108100.00 ns, 414.1081 ms/op
WorkloadActual  13: 1 op, 414246300.00 ns, 414.2463 ms/op
WorkloadActual  14: 1 op, 412686300.00 ns, 412.6863 ms/op
WorkloadActual  15: 1 op, 421082800.00 ns, 421.0828 ms/op

// AfterActualRun
WorkloadResult   1: 1 op, 413856400.00 ns, 413.8564 ms/op
WorkloadResult   2: 1 op, 416171200.00 ns, 416.1712 ms/op
WorkloadResult   3: 1 op, 415312700.00 ns, 415.3127 ms/op
WorkloadResult   4: 1 op, 409895600.00 ns, 409.8956 ms/op
WorkloadResult   5: 1 op, 415944700.00 ns, 415.9447 ms/op
WorkloadResult   6: 1 op, 414566000.00 ns, 414.5660 ms/op
WorkloadResult   7: 1 op, 410026800.00 ns, 410.0268 ms/op
WorkloadResult   8: 1 op, 409534800.00 ns, 409.5348 ms/op
WorkloadResult   9: 1 op, 415786900.00 ns, 415.7869 ms/op
WorkloadResult  10: 1 op, 418156700.00 ns, 418.1567 ms/op
WorkloadResult  11: 1 op, 414163700.00 ns, 414.1637 ms/op
WorkloadResult  12: 1 op, 414108100.00 ns, 414.1081 ms/op
WorkloadResult  13: 1 op, 414246300.00 ns, 414.2463 ms/op
WorkloadResult  14: 1 op, 412686300.00 ns, 412.6863 ms/op
GC:  0 0 0 0 0

// AfterAll

Mean = 413.8897 ms, StdErr = 0.6844 ms (0.17%); N = 14, StdDev = 2.5609 ms
Min = 409.5348 ms, Q1 = 412.6863 ms, Median = 414.2050 ms, Q3 = 415.7869 ms, Max = 418.1567 ms
IQR = 3.1006 ms, LowerFence = 408.0354 ms, UpperFence = 420.4378 ms
ConfidenceInterval = [411.0009 ms; 416.7786 ms] (CI 99.9%), Margin = 2.8889 ms (0.70% of Mean)
Skewness = -0.41, Kurtosis = 2.05, MValue = 2

// **************************
// Benchmark: AnyArrayVsListAccessMethods.ForEachAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "1b74f44b-088c-4c23-8d91-182e5c455e18.dll" --benchmarkName "CSharpBenchmarks.AnyArrayVsListAccessMethods.ForEachAnyList" --job "Jit=RyuJit, Platform=X64, Server=True" --benchmarkId 7 in E:\Git\benchmarks\CSharpBenchmarks\CSharpBenchmarks\bin\Release\netcoreapp2.2\1b74f44b-088c-4c23-8d91-182e5c455e18\bin\Release\netcoreapp2.2
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
// GC=Concurrent Server
// Job: Job-ZVQVCC(Jit=RyuJit, Platform=X64, Server=True)

OverheadJitting  1: 1 op, 435700.00 ns, 435.7000 us/op
WorkloadJitting  1: 1 op, 1992964300.00 ns, 1.9930 s/op

WorkloadWarmup   1: 1 op, 1992471400.00 ns, 1.9925 s/op
WorkloadWarmup   2: 1 op, 1994634800.00 ns, 1.9946 s/op
WorkloadWarmup   3: 1 op, 1993951000.00 ns, 1.9940 s/op
WorkloadWarmup   4: 1 op, 2010268500.00 ns, 2.0103 s/op
WorkloadWarmup   5: 1 op, 2007891700.00 ns, 2.0079 s/op
WorkloadWarmup   6: 1 op, 1994897000.00 ns, 1.9949 s/op

// BeforeActualRun
WorkloadActual   1: 1 op, 1990023600.00 ns, 1.9900 s/op
WorkloadActual   2: 1 op, 1991264300.00 ns, 1.9913 s/op
WorkloadActual   3: 1 op, 1993208400.00 ns, 1.9932 s/op
WorkloadActual   4: 1 op, 1995997100.00 ns, 1.9960 s/op
WorkloadActual   5: 1 op, 1993152500.00 ns, 1.9932 s/op
WorkloadActual   6: 1 op, 1992179700.00 ns, 1.9922 s/op
WorkloadActual   7: 1 op, 1992854300.00 ns, 1.9929 s/op
WorkloadActual   8: 1 op, 1996872800.00 ns, 1.9969 s/op
WorkloadActual   9: 1 op, 1993482600.00 ns, 1.9935 s/op
WorkloadActual  10: 1 op, 2047677600.00 ns, 2.0477 s/op
WorkloadActual  11: 1 op, 2031171500.00 ns, 2.0312 s/op
WorkloadActual  12: 1 op, 2031245100.00 ns, 2.0312 s/op
WorkloadActual  13: 1 op, 1993472300.00 ns, 1.9935 s/op
WorkloadActual  14: 1 op, 1990655200.00 ns, 1.9907 s/op
WorkloadActual  15: 1 op, 1990649400.00 ns, 1.9906 s/op

// AfterActualRun
WorkloadResult   1: 1 op, 1990023600.00 ns, 1.9900 s/op
WorkloadResult   2: 1 op, 1991264300.00 ns, 1.9913 s/op
WorkloadResult   3: 1 op, 1993208400.00 ns, 1.9932 s/op
WorkloadResult   4: 1 op, 1995997100.00 ns, 1.9960 s/op
WorkloadResult   5: 1 op, 1993152500.00 ns, 1.9932 s/op
WorkloadResult   6: 1 op, 1992179700.00 ns, 1.9922 s/op
WorkloadResult   7: 1 op, 1992854300.00 ns, 1.9929 s/op
WorkloadResult   8: 1 op, 1996872800.00 ns, 1.9969 s/op
WorkloadResult   9: 1 op, 1993482600.00 ns, 1.9935 s/op
WorkloadResult  10: 1 op, 1993472300.00 ns, 1.9935 s/op
WorkloadResult  11: 1 op, 1990655200.00 ns, 1.9907 s/op
WorkloadResult  12: 1 op, 1990649400.00 ns, 1.9906 s/op
GC:  0 0 0 0 0

// AfterAll

Mean = 1.9928 s, StdErr = 0.0006 s (0.03%); N = 12, StdDev = 0.0021 s
Min = 1.9900 s, Q1 = 1.9910 s, Median = 1.9930 s, Q3 = 1.9935 s, Max = 1.9969 s
IQR = 0.0025 s, LowerFence = 1.9872 s, UpperFence = 1.9973 s
ConfidenceInterval = [1.9902 s; 1.9955 s] (CI 99.9%), Margin = 0.0027 s (0.13% of Mean)
Skewness = 0.49, Kurtosis = 2.15, MValue = 2

Successfully reverted power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.AnyArrayVsListAccessMethods-report.csv
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.AnyArrayVsListAccessMethods-report-github.md
  BenchmarkDotNet.Artifacts\results\CSharpBenchmarks.AnyArrayVsListAccessMethods-report.html

// * Detailed results *
AnyArrayVsListAccessMethods.ForAnyCacheArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 373.3138 ms, StdErr = 0.3826 ms (0.10%); N = 15, StdDev = 1.4819 ms
Min = 370.5215 ms, Q1 = 372.1193 ms, Median = 373.9751 ms, Q3 = 374.2726 ms, Max = 374.9606 ms
IQR = 2.1533 ms, LowerFence = 368.8894 ms, UpperFence = 377.5026 ms
ConfidenceInterval = [371.7296 ms; 374.8981 ms] (CI 99.9%), Margin = 1.5842 ms (0.42% of Mean)
Skewness = -0.74, Kurtosis = 2.01, MValue = 2
-------------------- Histogram --------------------
[369.996 ms ; 375.486 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.ForEachAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 413.8897 ms, StdErr = 0.6844 ms (0.17%); N = 14, StdDev = 2.5609 ms
Min = 409.5348 ms, Q1 = 412.6863 ms, Median = 414.2050 ms, Q3 = 415.7869 ms, Max = 418.1567 ms
IQR = 3.1006 ms, LowerFence = 408.0354 ms, UpperFence = 420.4378 ms
ConfidenceInterval = [411.0009 ms; 416.7786 ms] (CI 99.9%), Margin = 2.8889 ms (0.70% of Mean)
Skewness = -0.41, Kurtosis = 2.05, MValue = 2
-------------------- Histogram --------------------
[408.605 ms ; 419.086 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.ForAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 466.4454 ms, StdErr = 0.4714 ms (0.10%); N = 15, StdDev = 1.8257 ms
Min = 463.3046 ms, Q1 = 464.6660 ms, Median = 467.2519 ms, Q3 = 467.7725 ms, Max = 469.3504 ms
IQR = 3.1065 ms, LowerFence = 460.0063 ms, UpperFence = 472.4323 ms
ConfidenceInterval = [464.4936 ms; 468.3971 ms] (CI 99.9%), Margin = 1.9517 ms (0.42% of Mean)
Skewness = -0.2, Kurtosis = 1.48, MValue = 2
-------------------- Histogram --------------------
[462.657 ms ; 469.998 ms) | @@@@@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.ForAnyCacheList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 486.3221 ms, StdErr = 1.9702 ms (0.41%); N = 15, StdDev = 7.6304 ms
Min = 477.6842 ms, Q1 = 480.5374 ms, Median = 484.0853 ms, Q3 = 496.0204 ms, Max = 498.6210 ms
IQR = 15.4830 ms, LowerFence = 457.3129 ms, UpperFence = 519.2449 ms
ConfidenceInterval = [478.1648 ms; 494.4795 ms] (CI 99.9%), Margin = 8.1574 ms (1.68% of Mean)
Skewness = 0.56, Kurtosis = 1.58, MValue = 2
-------------------- Histogram --------------------
[474.977 ms ; 484.687 ms) | @@@@@@@@
[484.687 ms ; 501.328 ms) | @@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.ForAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 722.6793 ms, StdErr = 0.9750 ms (0.13%); N = 14, StdDev = 3.6480 ms
Min = 718.9504 ms, Q1 = 719.8907 ms, Median = 722.3728 ms, Q3 = 723.3182 ms, Max = 730.9163 ms
IQR = 3.4275 ms, LowerFence = 714.7495 ms, UpperFence = 728.4595 ms
ConfidenceInterval = [718.5640 ms; 726.7945 ms] (CI 99.9%), Margin = 4.1152 ms (0.57% of Mean)
Skewness = 0.97, Kurtosis = 2.79, MValue = 2
-------------------- Histogram --------------------
[717.626 ms ; 732.241 ms) | @@@@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.ForEachAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 1.9928 s, StdErr = 0.0006 s (0.03%); N = 12, StdDev = 0.0021 s
Min = 1.9900 s, Q1 = 1.9910 s, Median = 1.9930 s, Q3 = 1.9935 s, Max = 1.9969 s
IQR = 0.0025 s, LowerFence = 1.9872 s, UpperFence = 1.9973 s
ConfidenceInterval = [1.9902 s; 1.9955 s] (CI 99.9%), Margin = 0.0027 s (0.13% of Mean)
Skewness = 0.49, Kurtosis = 2.15, MValue = 2
-------------------- Histogram --------------------
[1.989 s ; 1.998 s) | @@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.LinqAnyArray: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 4.2597 s, StdErr = 0.0058 s (0.14%); N = 14, StdDev = 0.0218 s
Min = 4.2343 s, Q1 = 4.2408 s, Median = 4.2563 s, Q3 = 4.2751 s, Max = 4.3008 s
IQR = 0.0343 s, LowerFence = 4.1893 s, UpperFence = 4.3266 s
ConfidenceInterval = [4.2351 s; 4.2843 s] (CI 99.9%), Margin = 0.0246 s (0.58% of Mean)
Skewness = 0.41, Kurtosis = 1.65, MValue = 2
-------------------- Histogram --------------------
[4.226 s ; 4.309 s) | @@@@@@@@@@@@@@
---------------------------------------------------

AnyArrayVsListAccessMethods.LinqAnyList: Job-FJTXPO(Jit=RyuJit, Platform=X64, Server=True)
Runtime = .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT; GC = Concurrent Server
Mean = 6.4124 s, StdErr = 0.0019 s (0.03%); N = 12, StdDev = 0.0066 s
Min = 6.3975 s, Q1 = 6.4095 s, Median = 6.4117 s, Q3 = 6.4164 s, Max = 6.4254 s
IQR = 0.0069 s, LowerFence = 6.3992 s, UpperFence = 6.4267 s
ConfidenceInterval = [6.4039 s; 6.4209 s] (CI 99.9%), Margin = 0.0085 s (0.13% of Mean)
Skewness = -0.26, Kurtosis = 3.4, MValue = 2
-------------------- Histogram --------------------
[6.395 s ; 6.428 s) | @@@@@@@@@@@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.11.5, OS=Windows 10.0.17134.706 (1803/April2018Update/Redstone4)
Intel Core i7-5820K CPU 3.30GHz (Broadwell), 1 CPU, 12 logical and 6 physical cores
.NET Core SDK=2.2.105
  [Host]     : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT
  Job-FJTXPO : .NET Core 2.2.3 (CoreCLR 4.6.27414.05, CoreFX 4.6.27414.05), 64bit RyuJIT

Jit=RyuJit  Platform=X64  Server=True  

|           Method |       Mean |     Error |    StdDev | Ratio | RatioSD |
|----------------- |-----------:|----------:|----------:|------:|--------:|
| ForAnyCacheArray |   373.3 ms |  1.584 ms |  1.482 ms |  1.00 |    0.00 |
|  ForEachAnyArray |   413.9 ms |  2.889 ms |  2.561 ms |  1.11 |    0.01 |
|      ForAnyArray |   466.4 ms |  1.952 ms |  1.826 ms |  1.25 |    0.01 |
|  ForAnyCacheList |   486.3 ms |  8.157 ms |  7.630 ms |  1.30 |    0.02 |
|       ForAnyList |   722.7 ms |  4.115 ms |  3.648 ms |  1.94 |    0.01 |
|   ForEachAnyList | 1,992.8 ms |  2.667 ms |  2.082 ms |  5.34 |    0.02 |
|     LinqAnyArray | 4,259.7 ms | 24.629 ms | 21.833 ms | 11.41 |    0.07 |
|      LinqAnyList | 6,412.4 ms |  8.509 ms |  6.643 ms | 17.17 |    0.08 |

// * Hints *
Outliers
  AnyArrayVsListAccessMethods.ForEachAnyArray: Jit=RyuJit, Platform=X64, Server=True -> 1 outlier  was  removed (421.08 ms)
  AnyArrayVsListAccessMethods.ForAnyList: Jit=RyuJit, Platform=X64, Server=True      -> 1 outlier  was  removed (737.12 ms)
  AnyArrayVsListAccessMethods.ForEachAnyList: Jit=RyuJit, Platform=X64, Server=True  -> 3 outliers were removed (2.03 s..2.05 s)
  AnyArrayVsListAccessMethods.LinqAnyArray: Jit=RyuJit, Platform=X64, Server=True    -> 1 outlier  was  removed (4.37 s)
  AnyArrayVsListAccessMethods.LinqAnyList: Jit=RyuJit, Platform=X64, Server=True     -> 3 outliers were removed (6.46 s..6.54 s)

// * Legends *
  Mean    : Arithmetic mean of all measurements
  Error   : Half of 99.9% confidence interval
  StdDev  : Standard deviation of all measurements
  Ratio   : Mean of the ratio distribution ([Current]/[Baseline])
  RatioSD : Standard deviation of the ratio distribution ([Current]/[Baseline])
  1 ms    : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:05:56 (356.29 sec), executed benchmarks: 8

Global total time: 00:06:01 (361.64 sec), executed benchmarks: 8
// * Artifacts cleanup *
